X,y,std_dev
29450,115.0,71.94581294279745
29500,107.6,59.72470175731311
29550,117.9,72.45750478728894
29600,115.3,75.37645520983325
29650,122.2,98.03448372894101
29700,116.4,97.97979383525973
29750,119.6,98.68556125391393
29800,119.5,101.46255466919803
29850,127.9,105.47933446889017
29900,128.0,111.80697652651197
29950,109.3,71.38914483309068
30000,105.6,64.65013534401919
30050,107.6,67.31151461674295
30100,121.4,92.84524758973936
30150,128.5,90.36730603487082
30200,189.4,137.51159951073217
30250,191.9,150.43101408951546
30300,199.7,156.46600269707153
30350,168.1,115.57633840886292
30400,147.1,84.09453014316686
30450,154.1,100.30199399812548
30500,155.5,97.68648831849777
30550,138.7,81.54514087301584
30600,130.4,93.57264557550995
30650,142.1,89.91601637083352
30700,146.9,77.3064680346994
30750,109.0,29.62768975131203
30800,148.7,121.05457446953419
30850,150.9,120.95325543365918
30900,156.7,121.13715367301646
30950,128.0,55.0763106970683
31000,127.8,66.15708578829633
31050,125.3,64.10623994588983
31100,145.7,77.89229743690964
31150,120.7,42.228071232297594
31200,152.1,117.32301564484267
31250,114.0,30.744105126023754
31300,146.2,107.9460976598969
31350,148.5,109.4278300981976
31400,141.5,86.27774915932845
31450,160.1,104.13111926796908
31500,168.7,102.50565838040356
31550,126.9,46.695717148363826
31600,135.1,73.92218882040764
31650,147.7,108.75297697074781
31700,128.8,50.390078388508186
31750,128.9,38.59650243221528
31800,117.7,33.867536078079254
31850,140.8,94.97662870411858
31900,109.0,29.06200268391702
31950,129.4,40.356412129920564
32000,157.0,99.08582138732059
32050,165.7,115.85426189830049
32100,127.2,56.28818703777908
32150,167.0,110.52601503718479
32200,201.8,118.99899159236604
32250,161.9,88.07888509739438
32300,134.5,55.45673989696834
32350,119.1,33.682191140126264
32400,121.4,31.216021527414416
32450,127.3,39.168992838723845
32500,150.3,83.13609324475141
32550,174.9,119.02810592460926
32600,150.8,77.98307508684175
32650,138.2,70.93912883592523
32700,171.1,106.44007703867938
32750,131.0,47.36032094485847
32800,133.8,52.63990881451069
32850,166.3,105.58318994991579
32900,165.0,86.91144918823987
32950,197.8,117.00581182146466
33000,192.2,129.71877273548344
33050,131.1,41.89856799462245
33100,128.2,56.43367788829645
33150,153.7,87.32130324267956
33200,227.9,141.38914385482357
33250,273.6,154.72310751791406
